port,dependency
libheif,gdk-pixbuf2
libheif,libde265
libheif,libjpeg-turbo
libheif,libpng
libheif,svt-av1
libheif,webp
libheif,x265
libidn,libiconv
libidn,gettext-runtime
libidn2,gettext-runtime
libidn2,libiconv
libidn2,libunistring
libLASi,fontconfig
libLASi,freetype
libLASi,glib2
libLASi,gettext-runtime
libLASi,harfbuzz
libLASi,pango
libmms,glib2
libmms,libiconv
libmms,gettext
libmpc,gmp
libmpc,mpfr
libmysofa,zlib
libnice,glib2
libnice,gstreamer1-gst-plugins-base
libnice,gupnp-igd
libnice,gobject-introspection
libnotify,glib2
libnotify,gobject-introspection
libnotify,gdk-pixbuf2
libnotify,gtk3
libnotify,xorg-libsm
libopenraw,curl
libopenraw,libjpeg-turbo
libopenraw,libxml2
libopenraw,gettext-runtime
libopenraw,gdk-pixbuf2
libopenraw,glib2
libopenraw,boost176
libpng,zlib
libproxy,vala
libproxy,glib2
libproxy,python311
libpsl,gettext-runtime
libpsl,libiconv
libpsl,libidn2
libpsl,libunistring
libraw,jasper
libraw,libjpeg-turbo
libraw,lcms2
librsvg,cairo
librsvg,freetype
librsvg,gdk-pixbuf2
librsvg,glib2
librsvg,harfbuzz
librsvg,libxml2
librsvg,pango
librsvg,vala
librsvg,gobject-introspection
libsecret,glib2
libsecret,vala
libsecret,libgcrypt
libsecret,gobject-introspection
libshout2,libvorbis
libshout2,speex
libshout2,libtheora
libshout2,openssl
libshout2,libogg
libsndfile,flac
libsndfile,libogg
libsndfile,libvorbis
libsndfile,libopus
libsoup,brotli
libsoup,glib2
libsoup,glib-networking
libsoup,gobject-introspection
libsoup,kerberos5
libsoup,libpsl
libsoup,libxml2
libsoup,sqlite3
libsoup,zlib
libsoup,nghttp2
libsoup,libsoup-2.4
libssh2,zlib
libssh2,openssl3
libtextstyle,libiconv
libtextstyle,ncurses
libtheora,libvorbis
libunistring,libiconv
libvorbis,libogg
libxml2,libiconv
libxml2,icu
libxml2,xz
libxml2,zlib
libxslt,icu
libxslt,libiconv
libxslt,libxml2
libxslt,zlib
libzzip,zlib
links,bzip2
links,libevent
links,xz
links,zlib
links,openssl3
llvm-8.0,libedit
llvm-8.0,libffi
llvm-8.0,ncurses
llvm-8.0,xar
llvm-8.0,zlib
llvm-8.0,libcxx
llvm-8.0,perl5
llvm-8.0,llvm_select
llvm-9.0,libedit
llvm-9.0,libffi
llvm-9.0,ncurses
llvm-9.0,xar
llvm-9.0,zlib
llvm-9.0,libcxx
llvm-9.0,perl5
llvm-9.0,llvm_select
m4,gettext-runtime
m4,libiconv
mesa,expat
mesa,xorg-libxcb
mesa,xorg-libX11
mesa,xorg-libXext
mesa,xorg-libXdamage
mesa,zlib
mesa,zstd
meson,python311
meson,py311-setuptools
meson,ninja
mpfr,gmp
neon,expat
neon,gettext
neon,libiconv
neon,kerberos5
neon,libcomerr
neon,libproxy
neon,openssl
neon,zlib
netpbm,jasper
netpbm,jbigkit
netpbm,libjpeg-turbo
netpbm,libnetpbm
netpbm,libpng
netpbm,libxml2
netpbm,tiff
netpbm,zlib
netpbm,xorg-libX11
nettle,gmp
ninja,python311
nss,nspr
nss,zlib
nss,sqlite3
openal-soft,libmysofa
openal-soft,zlib
openexr,imath
openexr,zlib
openjade,xmlcatmgr
openjade,opensp
openjpeg,libpng
openjpeg,tiff
openjpeg,lcms2
openjpeg,zlib
openjpeg,jbigkit
openjpeg15,libpng
openjpeg15,tiff
openjpeg15,lcms2
openjpeg15,zlib
openjpeg15,jbigkit
opensp,gettext
openssl,openssl3
openssl3,zlib
openssl11,zlib
ossp-uuid,perl5.34
p5.28-b-cow,perl5.28
p5.28-clone,perl5.28
p5.28-compress-raw-bzip2,perl5.28
p5.28-compress-raw-zlib,perl5.28
p5.28-cpan-meta,perl5.28
p5.28-cpan-meta,p5.28-cpan-meta-requirements
p5.28-cpan-meta,p5.28-cpan-meta-yaml
p5.28-cpan-meta,p5.28-encode
p5.28-cpan-meta,p5.28-scalar-list-utils
p5.28-cpan-meta,p5.28-version
p5.28-cpan-meta-requirements,perl5.28
p5.28-cpan-meta-yaml,perl5.28
p5.28-data-dump,perl5.28
p5.28-devel-checkbin,perl5.28
p5.28-devel-checkbin,p5.28-extutils-makemaker
p5.28-encode,perl5.28
p5.28-encode-locale,perl5.28
p5.28-extutils-makemaker,perl5.28
p5.28-extutils-makemaker,p5.28-cpan-meta-requirements
p5.28-extutils-makemaker,p5.28-extutils-manifest
p5.28-extutils-manifest,perl5.28
p5.28-file-listing,perl5.28
p5.28-file-listing,p5.28-http-date
p5.28-file-slurper,perl5.28
p5.28-file-slurper,p5.28-encode
p5.28-getopt-long,perl5.28
p5.28-html-form,perl5.28
p5.28-html-form,p5.28-encode
p5.28-html-form,p5.28-html-parser
p5.28-html-form,p5.28-http-message
p5.28-html-form,p5.28-uri
p5.28-html-parser,perl5.28
p5.28-html-parser,p5.28-html-tagset
p5.28-html-parser,p5.28-http-message
p5.28-html-parser,p5.28-uri
p5.28-html-tagset,perl5.28
p5.28-http-cookies,perl5.28
p5.28-http-cookies,p5.28-http-date
p5.28-http-cookies,p5.28-http-message
p5.28-http-daemon,perl5.28
p5.28-http-daemon,p5.28-http-date
p5.28-http-daemon,p5.28-http-message
p5.28-http-daemon,p5.28-io-socket-ip
p5.28-http-daemon,p5.28-lwp-mediatypes
p5.28-http-date,perl5.28
p5.28-http-date,p5.28-time-local
p5.28-http-date,p5.28-timedate
p5.28-http-message,perl5.28
p5.28-http-message,p5.28-clone
p5.28-http-message,p5.28-compress-raw-bzip2
p5.28-http-message,p5.28-compress-raw-zlib
p5.28-http-message,p5.28-encode
p5.28-http-message,p5.28-encode-locale
p5.28-http-message,p5.28-http-date
p5.28-http-message,p5.28-io-compress
p5.28-http-message,p5.28-io-compress-brotli
p5.28-http-message,p5.28-io-html
p5.28-http-message,p5.28-lwp-mediatypes
p5.28-http-message,p5.28-uri
p5.28-http-negotiate,perl5.28
p5.28-http-negotiate,p5.28-http-message
p5.28-inc-latest,perl5.28
p5.28-io-compress,perl5.28
p5.28-io-compress,p5.28-compress-raw-bzip2
p5.28-io-compress,p5.28-compress-raw-zlib
p5.28-io-compress,p5.28-time-local
p5.28-io-compress-brotli,perl5.28
p5.28-io-compress-brotli,p5.28-file-slurper
p5.28-io-compress-brotli,p5.28-getopt-long
p5.28-io-compress-brotli,p5.28-time-hires
p5.28-io-html,perl5.28
p5.28-io-socket-ip,perl5.28
p5.28-io-socket-ip,p5.28-socket
p5.28-io-socket-ssl,perl5.28
p5.28-io-socket-ssl,p5.28-mozilla-ca
p5.28-io-socket-ssl,p5.28-net-libidn
p5.28-io-socket-ssl,p5.28-net-ssleay
p5.28-libwww-perl,perl5.28
p5.28-libwww-perl,p5.28-data-dump
p5.28-libwww-perl,p5.28-encode-locale
p5.28-libwww-perl,p5.28-file-listing
p5.28-libwww-perl,p5.28-getopt-long
p5.28-libwww-perl,p5.28-html-form
p5.28-libwww-perl,p5.28-html-parser
p5.28-libwww-perl,p5.28-http-cookiejar
p5.28-libwww-perl,p5.28-http-cookies
p5.28-libwww-perl,p5.28-http-daemon
p5.28-libwww-perl,p5.28-http-date
p5.28-libwww-perl,p5.28-http-message
p5.28-libwww-perl,p5.28-http-negotiate
p5.28-libwww-perl,p5.28-lwp-mediatypes
p5.28-libwww-perl,p5.28-module-load
p5.28-libwww-perl,p5.28-net-http
p5.28-libwww-perl,p5.28-try-tiny
p5.28-libwww-perl,p5.28-uri
p5.28-libwww-perl,p5.28-www-robotrules
p5.28-locale-gettext,perl5.28
p5.28-locale-gettext,gettext-runtime
p5.28-locale-gettext,libiconv
p5.28-lwp-mediatypes,perl5.28
p5.28-lwp-protocol-https,perl5.28
p5.28-lwp-protocol-https,p5.28-io-socket-ssl
p5.28-lwp-protocol-https,p5.28-libwww-perl
p5.28-lwp-protocol-https,p5.28-mozilla-ca
p5.28-lwp-protocol-https,p5.28-net-http
p5.28-module-build,perl5.28
p5.28-module-build,p5.28-cpan-meta
p5.28-module-build,p5.28-inc-latest
p5.28-module-build,p5.28-module-metadata
p5.28-module-build,p5.28-perl-ostype
p5.28-module-build,p5.28-podlators
p5.28-module-build,p5.28-software-license
p5.28-module-metadata,perl5.28
p5.28-module-metadata,p5.28-encode
p5.28-module-metadata,p5.28-version
p5.28-mozilla-ca,perl5.28
p5.28-net-http,perl5.28
p5.28-net-http,p5.28-io-socket-ip
p5.28-net-http,p5.28-io-socket-ssl
p5.28-net-http,p5.28-uri
p5.28-net-libidn,perl5.28
p5.28-net-libidn,libidn
p5.28-net-ssleay,perl5.28
p5.28-net-ssleay,openssl
p5.28-pathtools,perl5.28
p5.28-perl-ostype,perl5.28
p5.28-pod-escapes,perl5.28
p5.28-pod-simple,perl5.28
p5.28-pod-simple,p5.28-encode
p5.28-pod-simple,p5.28-pod-escapes
p5.28-podlators,perl5.28
p5.28-podlators,p5.28-pod-simple
p5.28-scalar-list-utils,perl5.28
p5.28-socket,perl5.28
p5.28-sub-name,perl5.28
p5.28-sub-uplevel,perl5.28
p5.28-test-exception,perl5.28
p5.28-test-exception,p5.28-sub-uplevel
p5.28-test-nowarnings,perl5.28
p5.28-test-warn,perl5.28
p5.28-test-warn,p5.28-sub-uplevel
p5.28-time-hires,perl5.28
p5.28-time-local,perl5.28
p5.28-timedate,perl5.28
p5.28-try-tiny,perl5.28
p5.28-try-tiny,p5.28-sub-name
p5.28-uri,perl5.28
p5.28-uri,p5.28-regexp-ipv6
p5.28-version,perl5.28
p5.28-www-robotrules,perl5.28
p5.28-www-robotrules,p5.28-uri
p5.28-xml-namespacesupport,perl5.28
p5.28-xml-parser,perl5.28
p5.28-xml-parser,expat
p5.28-xml-parser,p5.28-libwww-perl
p5.28-xml-sax,perl5.28
p5.28-xml-sax,p5.28-xml-namespacesupport
p5.28-xml-sax,p5.28-xml-sax-base
p5.28-xml-sax-base,perl5.28
p5.28-xml-sax-expat,perl5.28
p5.28-xml-sax-expat,p5.28-xml-parser
p5.28-xml-sax-expat,p5.28-xml-sax
p5.28-xml-sax-expat,p5.28-xml-namespacesupport
p5.28-xml-simple,perl5.28
p5.28-xml-simple,p5.28-xml-namespacesupport
p5.28-xml-simple,p5.28-xml-sax
p5.28-xml-simple,p5.28-xml-sax-expat
p5.34-clone,perl5.34
p5.34-compress-raw-bzip2,perl5.34
p5.34-compress-raw-zlib,perl5.34
p5.34-data-dump,perl5.34
p5.34-encode,perl5.34
p5.34-encode-locale,perl5.34
p5.34-file-listing,perl5.34
p5.34-file-listing,p5.34-http-date
p5.34-file-slurper,perl5.34
p5.34-file-slurper,p5.34-encode
p5.34-getopt-long,perl5.34
p5.34-html-form,perl5.34
p5.34-html-form,p5.34-encode
p5.34-html-form,p5.34-html-parser
p5.34-html-form,p5.34-http-message
p5.34-html-form,p5.34-uri
p5.34-html-parser,perl5.34
p5.34-html-parser,p5.34-html-tagset
p5.34-html-parser,p5.34-http-message
p5.34-html-parser,p5.34-uri
p5.34-html-tagset,perl5.34
p5.34-http-cookies,perl5.34
p5.34-http-cookies,p5.34-http-date
p5.34-http-cookies,p5.34-http-message
p5.34-http-daemon,perl5.34
p5.34-http-daemon,p5.34-http-date
p5.34-http-daemon,p5.34-http-message
p5.34-http-daemon,p5.34-io-socket-ip
p5.34-http-daemon,p5.34-lwp-mediatypes
p5.34-http-date,perl5.34
p5.34-http-date,p5.34-time-local
p5.34-http-date,p5.34-timedate
p5.34-http-message,perl5.34
p5.34-http-message,p5.34-clone
p5.34-http-message,p5.34-compress-raw-bzip2
p5.34-http-message,p5.34-compress-raw-zlib
p5.34-http-message,p5.34-encode
p5.34-http-message,p5.34-encode-locale
p5.34-http-message,p5.34-http-date
p5.34-http-message,p5.34-io-compress
p5.34-http-message,p5.34-io-compress-brotli
p5.34-http-message,p5.34-io-html
p5.34-http-message,p5.34-lwp-mediatypes
p5.34-http-message,p5.34-uri
p5.34-http-negotiate,perl5.34
p5.34-http-negotiate,p5.34-http-message
p5.34-io-compress,perl5.34
p5.34-io-compress,p5.34-compress-raw-bzip2
p5.34-io-compress,p5.34-compress-raw-zlib
p5.34-io-compress,p5.34-time-local
p5.34-io-compress-brotli,perl5.34
p5.34-io-compress-brotli,p5.34-file-slurper
p5.34-io-compress-brotli,p5.34-getopt-long
p5.34-io-compress-brotli,p5.34-time-hires
p5.34-io-html,perl5.34
p5.34-io-socket-ip,perl5.34
p5.34-io-socket-ip,p5.34-socket
p5.34-io-socket-ssl,perl5.34
p5.34-io-socket-ssl,p5.34-mozilla-ca
p5.34-io-socket-ssl,p5.34-net-libidn
p5.34-io-socket-ssl,p5.34-net-ssleay
p5.34-libwww-perl,perl5.34
p5.34-libwww-perl,p5.34-data-dump
p5.34-libwww-perl,p5.34-encode-locale
p5.34-libwww-perl,p5.34-file-listing
p5.34-libwww-perl,p5.34-getopt-long
p5.34-libwww-perl,p5.34-html-form
p5.34-libwww-perl,p5.34-html-parser
p5.34-libwww-perl,p5.34-http-cookiejar
p5.34-libwww-perl,p5.34-http-cookies
p5.34-libwww-perl,p5.34-http-daemon
p5.34-libwww-perl,p5.34-http-date
p5.34-libwww-perl,p5.34-http-message
p5.34-libwww-perl,p5.34-http-negotiate
p5.34-libwww-perl,p5.34-lwp-mediatypes
p5.34-libwww-perl,p5.34-module-load
p5.34-libwww-perl,p5.34-net-http
p5.34-libwww-perl,p5.34-try-tiny
p5.34-libwww-perl,p5.34-uri
p5.34-libwww-perl,p5.34-www-robotrules
p5.34-lwp-mediatypes,perl5.34
p5.34-mozilla-ca,perl5.34
p5.34-net-http,perl5.34
p5.34-net-http,p5.34-io-socket-ip
p5.34-net-http,p5.34-io-socket-ssl
p5.34-net-http,p5.34-uri
p5.34-net-libidn,perl5.34
p5.34-net-libidn,libidn
p5.34-net-ssleay,perl5.34
p5.34-net-ssleay,openssl
p5.34-pathtools,perl5.34
p5.34-scalar-list-utils,perl5.34
p5.34-socket,perl5.34
p5.34-sub-name,perl5.34
p5.34-time-hires,perl5.34
p5.34-time-local,perl5.34
p5.34-timedate,perl5.34
p5.34-try-tiny,perl5.34
p5.34-try-tiny,p5.34-sub-name
p5.34-uri,perl5.34
p5.34-uri,p5.34-regexp-ipv6
p5.34-www-robotrules,perl5.34
p5.34-www-robotrules,p5.34-uri
p5.34-xml-parser,perl5.34
p5.34-xml-parser,expat
