port,dependency
p5.28-file-listing,p5.28-http-date
p5.28-getopt-long,perl5.28
p5.28-html-form,perl5.28
p5.28-html-form,p5.28-encode
p5.28-html-form,p5.28-html-parser
p5.28-html-form,p5.28-http-message
p5.28-html-form,p5.28-uri
p5.28-html-parser,perl5.28
p5.28-html-parser,p5.28-html-tagset
p5.28-html-tagset,perl5.28
p5.28-http-cookies,perl5.28
p5.28-http-cookies,p5.28-http-date
p5.28-http-cookies,p5.28-http-message
p5.28-http-daemon,perl5.28
p5.28-http-daemon,p5.28-http-date
p5.28-http-daemon,p5.28-http-message
p5.28-http-daemon,p5.28-io-socket-ip
p5.28-http-daemon,p5.28-lwp-mediatypes
p5.28-http-daemon,p5.28-module-build
p5.28-http-date,perl5.28
p5.28-http-date,p5.28-time-local
p5.28-http-date,p5.28-timedate
p5.28-http-message,perl5.28
p5.28-http-message,p5.28-encode
p5.28-http-message,p5.28-encode-locale
p5.28-http-message,p5.28-http-date
p5.28-http-message,p5.28-io-html
p5.28-http-message,p5.28-lwp-mediatypes
p5.28-http-message,p5.28-uri
p5.28-http-negotiate,perl5.28
p5.28-http-negotiate,p5.28-http-message
p5.28-inc-latest,perl5.28
p5.28-io-html,perl5.28
p5.28-io-socket-ip,perl5.28
p5.28-io-socket-ip,p5.28-socket
p5.28-io-socket-ssl,perl5.28
p5.28-io-socket-ssl,p5.28-net-libidn
p5.28-io-socket-ssl,p5.28-net-ssleay
p5.28-libwww-perl,perl5.28
p5.28-libwww-perl,p5.28-data-dump
p5.28-libwww-perl,p5.28-encode-locale
p5.28-libwww-perl,p5.28-file-listing
p5.28-libwww-perl,p5.28-html-form
p5.28-libwww-perl,p5.28-html-parser
p5.28-libwww-perl,p5.28-http-cookies
p5.28-libwww-perl,p5.28-http-daemon
p5.28-libwww-perl,p5.28-http-date
p5.28-libwww-perl,p5.28-http-message
p5.28-libwww-perl,p5.28-http-negotiate
p5.28-libwww-perl,p5.28-lwp-mediatypes
p5.28-libwww-perl,p5.28-lwp-protocol-https
p5.28-libwww-perl,p5.28-net-http
p5.28-libwww-perl,p5.28-try-tiny
p5.28-libwww-perl,p5.28-uri
p5.28-libwww-perl,p5.28-www-robotrules
p5.28-locale-gettext,perl5.28
p5.28-locale-gettext,gettext
p5.28-locale-gettext,libiconv
p5.28-lwp-mediatypes,perl5.28
p5.28-lwp-protocol-https,perl5.28
p5.28-lwp-protocol-https,p5.28-io-socket-ssl
p5.28-lwp-protocol-https,p5.28-mozilla-ca
p5.28-lwp-protocol-https,p5.28-net-http
p5.28-module-build,perl5.28
p5.28-module-build,p5.28-cpan-meta
p5.28-module-build,p5.28-inc-latest
p5.28-module-build,p5.28-module-metadata
p5.28-module-build,p5.28-perl-ostype
p5.28-module-build,p5.28-podlators
p5.28-module-metadata,perl5.28
p5.28-module-metadata,p5.28-encode
p5.28-module-metadata,p5.28-version
p5.28-mozilla-ca,perl5.28
p5.28-net-http,perl5.28
p5.28-net-http,p5.28-io-socket-ssl
p5.28-net-http,p5.28-uri
p5.28-net-libidn,perl5.28
p5.28-net-libidn,libidn
p5.28-net-ssleay,perl5.28
p5.28-net-ssleay,openssl
p5.28-pathtools,perl5.28
p5.28-perl-ostype,perl5.28
p5.28-pod-escapes,perl5.28
p5.28-pod-simple,perl5.28
p5.28-pod-simple,p5.28-encode
p5.28-pod-simple,p5.28-pod-escapes
p5.28-podlators,perl5.28
p5.28-podlators,p5.28-pod-simple
p5.28-scalar-list-utils,perl5.28
p5.28-socket,perl5.28
p5.28-sub-name,perl5.28
p5.28-sub-uplevel,perl5.28
p5.28-test-exception,perl5.28
p5.28-test-exception,p5.28-sub-uplevel
p5.28-test-nowarnings,perl5.28
p5.28-test-warn,perl5.28
p5.28-test-warn,p5.28-sub-uplevel
p5.28-time-local,perl5.28
p5.28-timedate,perl5.28
p5.28-try-tiny,perl5.28
p5.28-try-tiny,p5.28-sub-name
p5.28-uri,perl5.28
p5.28-version,perl5.28
p5.28-www-robotrules,perl5.28
p5.28-www-robotrules,p5.28-uri
p5.28-xml-namespacesupport,perl5.28
p5.28-xml-parser,perl5.28
p5.28-xml-parser,expat
p5.28-xml-parser,p5.28-libwww-perl
p5.28-xml-sax,perl5.28
p5.28-xml-sax,p5.28-xml-namespacesupport
p5.28-xml-sax,p5.28-xml-sax-base
p5.28-xml-sax-base,perl5.28
p5.28-xml-sax-expat,perl5.28
p5.28-xml-sax-expat,p5.28-xml-parser
p5.28-xml-sax-expat,p5.28-xml-sax
p5.28-xml-sax-expat,p5.28-xml-namespacesupport
p5.28-xml-simple,perl5.28
p5.28-xml-simple,p5.28-xml-namespacesupport
p5.28-xml-simple,p5.28-xml-sax
p5.28-xml-simple,p5.28-xml-sax-expat
p11-kit,gettext
p11-kit,libtasn1
p11-kit,libffi
p11-kit,libxslt
p11-kit,curl-ca-bundle
pango,glib2
pango,cairo
pango,fribidi
pango,harfbuzz
pango,gobject-introspection
pango,Xft2
pcre,bzip2
pcre,libedit
pcre,zlib
perl5,perl5.28
perl5.26,db48
perl5.26,gdbm
perl5.28,db48
perl5.28,gdbm
pgf,texlive-basic
pkgconfig,libiconv
popt,gettext
popt,libiconv
potrace,zlib
pulseaudio,libiconv
pulseaudio,libsndfile
pulseaudio,libtool
pulseaudio,gdbm
pulseaudio,glib2
pulseaudio,dbus
pulseaudio,fftw-3-single
pulseaudio,speexDSP
pulseaudio,orc
pulseaudio,soxr
pulseaudio,xorg-libX11
pulseaudio,xorg-libxcb
pulseaudio,xorg-libice
pulseaudio,xorg-libsm
pulseaudio,xorg-libXtst
py27-beaker,python27
py27-beaker,py27-setuptools
py27-beaker,py27-funcsigs
py27-cairo,python27
py27-cairo,cairo
py27-funcsigs,python27
py27-gobject,python27
py27-gobject,glib2
py27-gobject,libffi
py27-gobject,py27-cairo
py27-gobject,gobject-introspection
py27-libxml2,python27
py27-libxml2,libxml2
py27-mako,python27
py27-mako,py27-setuptools
py27-mako,py27-beaker
py27-mako,py27-markupsafe
py27-markupsafe,python27
py27-setuptools,python27
py27-simplejson,python27
python27,bzip2
python27,db48
python27,expat
python27,gettext
python27,libedit
python27,libffi
python27,ncurses
python27,openssl
python27,sqlite3
python27,zlib
python27,python_select
python27,python2_select
rarian,getopt
rarian,libxslt
readline,ncurses
rtmpdump,gnutls
rtmpdump,gmp
rtmpdump,nettle
rtmpdump,zlib
rust,llvm-9.0
shared-mime-info,glib2
shared-mime-info,libxml2
spandsp-devel,tiff
speex,libogg
sqlite3,libedit
sqlite3,ncurses
sqlite3,zlib
taglib,zlib
texinfo,gettext
texinfo,libiconv
texinfo,ncurses
texinfo,perl5.28
texlive-basic,texlive-common
texlive-basic,texlive-bin
texlive-bin,fontconfig
texlive-bin,freetype
texlive-bin,libpng
texlive-bin,ncurses
texlive-bin,zlib
texlive-bin,libzzip
texlive-bin,cairo
texlive-bin,libpixman
texlive-bin,graphite2
texlive-bin,icu
texlive-bin,harfbuzz
texlive-bin,harfbuzz-icu
texlive-bin,libpaper
texlive-bin,gmp
texlive-bin,mpfr
texlive-bin,potrace
texlive-bin,texlive-common
texlive-bin,xorg-libXp
texlive-bin,xpm
texlive-bin,xorg-libXaw
texlive-bin,xorg-libXi
texlive-bin,ghostscript
texlive-fonts-recommended,texlive-basic
texlive-fonts-recommended,texlive-common
texlive-fonts-recommended,texlive-bin
texlive-latex,texlive-basic
texlive-latex,texlive-common
texlive-latex,texlive-bin
texlive-latex-extra,texlive-latex-recommended
texlive-latex-extra,texlive-pictures
texlive-latex-extra,texlive-common
texlive-latex-extra,texlive-bin
texlive-latex-recommended,texlive-latex
texlive-latex-recommended,pgf
texlive-latex-recommended,texlive-common
texlive-latex-recommended,texlive-bin
texlive-math-science,texlive-fonts-recommended
texlive-math-science,texlive-latex
texlive-math-science,texlive-common
texlive-math-science,texlive-bin
texlive-pictures,texlive-basic
texlive-pictures,pgf
texlive-pictures,texlive-common
texlive-pictures,texlive-bin
tiff,jpeg
tiff,xz
tiff,zlib
tiff,zstd
twolame,libsndfile
urw-fonts,fontconfig
vala,glib2
vala,graphviz
wavpack,libiconv
webkit2-gtk,atk
webkit2-gtk,at-spi2-atk
webkit2-gtk,bison
webkit2-gtk,cairo
webkit2-gtk,flex
webkit2-gtk,fontconfig
webkit2-gtk,freetype
webkit2-gtk,enchant2
webkit2-gtk,geoclue2
webkit2-gtk,glib2
webkit2-gtk,gobject-introspection
webkit2-gtk,gstreamer1
webkit2-gtk,gstreamer1-gst-plugins-bad
webkit2-gtk,gstreamer1-gst-plugins-base
webkit2-gtk,gstreamer1-gst-plugins-good
webkit2-gtk,gtk3
webkit2-gtk,harfbuzz-icu
webkit2-gtk,hyphen
webkit2-gtk,icu
webkit2-gtk,libnotify
webkit2-gtk,libpng
webkit2-gtk,libsecret
webkit2-gtk,libsoup
webkit2-gtk,libxml2
webkit2-gtk,libxslt
webkit2-gtk,sqlite3
webkit2-gtk,webp
webkit2-gtk,woff2
webkit2-gtk,zlib
webkit2-gtk,mesa
webkit2-gtk,xorg-libXt
webkit2-gtk,adwaita-icon-theme
webp,giflib
webp,jpeg
webp,libpng
webp,tiff
wine,
woff2,brotli
xar,bzip2
xar,libxml2
xar,openssl
xar,zlib
Xft2,zlib
Xft2,xrender
Xft2,freetype
Xft2,fontconfig
Xft2,expat
xorg-libice,xorg-xorgproto
xorg-libsm,xorg-libice
xorg-libX11,xorg-libXdmcp
xorg-libX11,xorg-libXau
xorg-libX11,xorg-libxcb
xorg-libX11,xorg-xorgproto
xorg-libXau,xorg-xorgproto
xorg-libXaw,xorg-libsm
xorg-libXaw,xorg-libXext
xorg-libXaw,xorg-libXmu
xorg-libXaw,xpm
xorg-libXaw,xorg-libXt
xorg-libxcb,xorg-libXau
xorg-libxcb,xorg-libXdmcp
xorg-libxcb,xorg-xcb-proto
xorg-libxcb,xorg-libpthread-stubs
xorg-libXcomposite,xorg-libXfixes
xorg-libXcomposite,xorg-libXext
xorg-libXcomposite,xorg-xorgproto
xorg-libXcursor,xorg-libXfixes
xorg-libXcursor,xrender
xorg-libXdamage,xorg-libXfixes
xorg-libXdamage,xorg-xorgproto
xorg-libXext,xorg-libX11
xorg-libXext,xorg-xorgproto
xorg-libXfixes,xorg-libX11
xorg-libXfixes,xorg-xorgproto
xorg-libXi,xorg-libXext
xorg-libXi,xorg-libXfixes
xorg-libXi,xorg-xorgproto
xorg-libXinerama,xorg-libXext
xorg-libXinerama,xorg-xorgproto
xorg-libXmu,xorg-libXext
xorg-libXmu,xorg-libXt
xorg-libXp,xorg-libXext
xorg-libXp,xorg-xorgproto
xorg-libXp,xorg-libpthread-stubs
xorg-libXrandr,xorg-libX11
xorg-libXrandr,xorg-libXext
xorg-libXrandr,xrender
xorg-libXrandr,xorg-xorgproto
xorg-libXScrnSaver,xorg-libXext
xorg-libXScrnSaver,xorg-xorgproto
xorg-libXt,xorg-libsm
